index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num,doc_token_index
0,0,At,verb,at,A,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['at'],[at̪],4,\N,1,0
1,0,regina,noun,regina,regin,nsubj,0,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['re', 'gi', 'na']",[rɛgɪn̪a],4,\N,1,1
2,0,gravi,adjective,gravus,grav,obl,3,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['gra', 'vi']",[grawɪ],4,\N,1,2
3,0,iamdudum,adjective,iamdus,iamdud,amod,1,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['iam', 'du', 'dum']",[jamd̪ʊd̪ũː],4,\N,1,3
4,0,saucia,adjective,saucius,sauc,amod,5,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['sau', 'ci', 'a']",[sawkɪ̣ja],4,\N,1,4
5,0,cura,noun,cura,cur,nsubj,7,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cu', 'ra']",[kʊra],4,\N,1,5
6,0,volnus,noun,volnus,voln,obj,7,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['vol', 'nus']",[wɔɫn̪ʊs],4,\N,2,6
7,0,alit,verb,aliuo,ali,conj,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['a', 'lit']",[alɪt̪],4,\N,2,7
8,0,venis,noun,venis,ven,nsubj,7,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ve', 'nis']",[wɛn̪ɪs],4,\N,2,8
9,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,4,\N,2,9
10,0,et,coordinating_conjunction,et,et,cc,12,\N,{F: [pos]},['et'],[ɛt̪],4,\N,2,10
11,0,caeco,noun,caecus,caec,obl,12,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cae', 'co']",[kajkɔ],4,\N,2,11
12,0,carpitur,verb,carpo,carpi,conj,7,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['car', 'pi', 'tur']",[karpɪt̪ʊr],4,\N,2,12
13,0,igni,noun,ignis,ign,obl:arg,12,"{Case: [dative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ig', 'ni']",[ɪŋn̪ɪ],4,\N,2,13
14,0,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,4,\N,2,14
0,1,Multa,determiner,multus,Mult,nsubj,6,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Numeral: [cardinal], Number: [plural], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['mul', 'ta']",[mʊɫt̪a],4,\N,3,15
1,1,viri,noun,virus,vir,nmod,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['vi', 'ri']",[wɪrɪ],4,\N,3,16
2,1,virtus,noun,virtus,virt,conj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['vir', 'tus']",[wɪrt̪ʊs],4,\N,3,17
3,1,animo,noun,animus,anim,nmod,2,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['a', 'ni', 'mo']",[an̪ɪmɔ],4,\N,3,18
4,1,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,4,\N,3,19
5,1,multusque,determiner,multus,mult,nsubj,6,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['mul', 'tus', 'que']",[mʊɫt̪ʊskʷɛ],4,\N,3,20
6,1,recursat,verb,recurso,recursa,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['re', 'cur', 'sat']",[rɛkʊrsat̪],4,\N,3,21
7,1,gentis,noun,gens,gent,nmod,8,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['gen', 'tis']",[gɛn̪t̪ɪs],4,\N,4,22
8,1,honos,noun,hono,hon,nsubj,6,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ho', 'nos']",[hɔn̪ɔs],4,\N,4,23
9,1,:,punctuation,:,:,punct,6,\N,\N,[':'],\N,4,\N,4,24
