index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,0,Tu,pronoun,tu,T,nsubj,14,"{Case: [nominative], InflClass: [lat_anom], Number: [singular], Person: [second], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['tu'],[t̪ʊ],7,\N,1
1,0,quoque,adverb,quoque,quoque,advmod,14,\N,"{F: [neg], N: [pos], V: [pos]}","['quo', 'que']",[kʷɔkʷɛ],7,\N,1
2,0,litoribus,noun,litor,litor,obl,14,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['li', 'to', 'ri', 'bus']",[lɪt̪ɔrɪbʊs],7,\N,1
3,0,nostris,determiner,noster,nostr,det,2,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['nos', 'tris']",[n̪ɔst̪rɪs],7,\N,1
4,0,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,7,\N,1
5,0,Aeneia,adjective,aeneius,Aene,amod,6,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ae', 'neia']",[ajn̪eja],7,\N,1
6,0,nutrix,noun,nutrix,nutrix,nsubj,14,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['nu', 'trix']",[n̪ʊt̪rɪks],7,\N,1
7,0,",",punctuation,",",",",punct,9,\N,\N,"[',']",\N,7,\N,1
8,0,aeternam,adjective,aeternus,aetern,obj,9,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['ae', 'ter', 'nam']",[ajt̪ɛrn̪ãː],7,\N,2
9,0,moriens,verb,morior,morie,acl,6,"{Aspect: [imperfective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['mo', 'ri', 'ens']",[mɔrɪ̣jeːn̪s],7,\N,2
