index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,0,Arma,noun,arma,Arm,root,-1,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ar', 'ma']",[arma],1,\N,1
1,0,virumque,noun,virus,vir,flat,0,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['vi', 'rum', 'que']",[wɪrʊmkʷɛ],1,\N,1
2,0,cano,noun,canum,can,conj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ca', 'no']",[kan̪ɔ],1,\N,1
3,0,",",punctuation,",",",",punct,4,\N,\N,"[',']",\N,1,\N,1
4,0,Troiae,noun,troia,Troi,conj,0,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['tro', 'iae']",[t̪rɔjjaj],1,\N,1
5,0,qui,pronoun,qui,qui,nsubj,6,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['qui'],[kʷɪ],1,\N,1
6,0,primus,adjective,primus,prim,acl:relcl,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Numeral: [ordinal], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['pri', 'mus']",[prɪmʊs],1,\N,1
7,0,ab,adposition,ab,ab,case,8,\N,"{F: [pos], N: [neg], V: [neg]}",['ab'],[ab],1,\N,1
8,0,oris,noun,oris,or,obl:arg,6,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['o', 'ris']",[ɔrɪs],1,\N,1
9,0,Italiam,adjective,italis,Itali,amod,8,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['i', 'ta', 'li', 'am']",[ɪt̪alɪ̣jãː],1,\N,2
10,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N,1,\N,2
11,0,fato,noun,fatum,fat,obl,15,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fa', 'to']",[fat̪ɔ],1,\N,2
12,0,profugus,noun,profugus,profug,nsubj,15,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pro', 'fu', 'gus']",[prɔfʊgʷs],1,\N,2
13,0,",",punctuation,",",",",punct,15,\N,\N,"[',']",\N,1,\N,2
14,0,Laviniaque,noun,lavinia,Lavin,nsubj,15,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['la', 'vi', 'ni', 'a', 'que']",[lawɪn̪ɪ̣jakʷɛ],1,\N,2
15,0,venit,verb,vigo,veni,conj,0,"{Aspect: [perfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ve', 'nit']",[wɛn̪ɪt̪],1,\N,2
16,0,litora,noun,litora,litor,obj,15,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['li', 'to', 'ra']",[lɪt̪ɔra],1,\N,3
17,0,",",punctuation,",",",",punct,22,\N,\N,"[',']",\N,1,\N,3
18,0,multum,determiner,multus,mult,nsubj,26,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Numeral: [cardinal], Number: [singular], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['mul', 'tum']",[mʊɫt̪ũː],1,\N,3
19,0,ille,determiner,ille,ille,det,18,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}","['il', 'le']",[ɪɫlɛ],1,\N,3
20,0,et,coordinating_conjunction,et,et,cc,21,\N,{F: [pos]},['et'],[ɛt̪],1,\N,3
21,0,terris,noun,terra,terr,obl,22,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ter', 'ris']",[t̪ɛrrɪs],1,\N,3
22,0,iactatus,verb,iacto,iactat,advcl,26,"{Aspect: [perfective], Case: [nominative], Gender: [masculine], InflClass: [lat_a, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['iac', 'ta', 'tus']",[jakt̪at̪ʊs],1,\N,3
23,0,et,coordinating_conjunction,et,et,cc,26,\N,{F: [pos]},['et'],[ɛt̪],1,\N,3
24,0,alto,noun,altus,alt,obl,22,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['al', 'to']",[aɫt̪ɔ],1,\N,3
